time,type,mark
24.042086039659946,1,1.0
29.44844665536445,0,4.0
35.940270974530776,0,1.0
39.86822521248845,0,5.0
40.729701490722206,0,4.0
45.73667664489698,1,3.0
46.98985623844601,0,4.0
48.65594537181455,0,4.0
60.42680868333825,1,4.0
60.427230281750596,0,2.0
60.556691281238415,0,5.0
61.307785810281715,0,2.0
64.02590484272199,0,1.0
65.6156647897698,0,2.0
80.8417036309186,1,2.0
81.6893760577572,1,4.0
81.69070660433881,0,5.0
89.41421865304372,0,3.0
89.6242731232478,1,4.0
95.38399875504102,0,1.0
108.5631152346802,0,5.0
108.60919995956337,1,2.0
115.10466803621581,1,1.0
116.17499839447323,1,2.0
134.11054535125328,0,2.0
137.3347269574115,0,5.0
165.13931582357228,0,4.0
169.78433030032986,0,4.0
175.97230179111702,0,1.0
176.5063428238466,1,2.0
202.41263297613483,0,3.0
212.5269565368801,1,5.0
212.52716563895302,0,5.0
212.52802826347119,1,1.0
215.4621921563493,0,2.0
226.70952730724912,0,5.0
238.61846442864567,1,5.0
238.61882234792662,0,1.0
238.87578196159814,0,4.0
238.87589280108992,1,1.0
239.31722250721484,0,5.0
239.32926165743368,0,2.0
240.19168661495104,1,4.0
251.51937586693262,1,1.0
255.15182414475,1,2.0
257.63331233714104,0,2.0
261.83110690506777,0,3.0
265.1344566612905,1,3.0
276.8716906988898,1,3.0
292.3790707285706,1,1.0
316.4596144605825,1,1.0
324.4282307002446,1,1.0
339.18342192589165,0,4.0
347.7208274379095,0,1.0
349.3726348962723,1,3.0
365.9909520094498,0,3.0
366.26958117465284,1,5.0
366.320880250256,0,4.0
372.1013729690313,1,1.0
380.684238756442,0,5.0
380.6903439224429,0,3.0
383.08434077764974,0,1.0
386.61888220934884,1,1.0
387.6774849437883,0,4.0
391.2518197234377,1,3.0
391.68686639610945,1,5.0
391.7020267427594,1,3.0
403.77173038205933,1,3.0
418.32299042840856,0,1.0
428.02007157543846,0,1.0
436.5138466559769,0,2.0
449.42345879565465,1,3.0
457.70832797314904,1,1.0
487.3138046903009,1,5.0
487.325413262859,0,3.0
490.9584438226112,0,1.0
494.4921253280827,1,4.0
494.50886954301683,0,2.0
499.00452918848913,0,2.0
503.57342780579836,0,1.0
508.6529028915183,0,5.0
528.0827112195847,0,3.0
543.0002132068042,1,2.0
543.7181336322325,1,3.0
548.6421229533522,1,3.0
553.7882958985651,1,1.0
590.1380773976456,1,1.0
597.5498623252289,1,1.0
611.9345422910864,0,1.0
651.9690691613049,0,1.0
671.5452451879916,1,3.0
671.5459368246197,0,5.0
674.1455732185912,0,1.0
674.3210888420485,0,4.0
674.3309720082522,0,4.0
689.2271696818677,1,5.0
689.2793267823017,1,3.0
703.2075105789372,1,5.0
703.2322105202825,1,5.0
704.0483047343416,1,2.0
710.9003013015398,0,1.0
711.811586615112,1,1.0
746.1501147579743,1,2.0
749.062659765028,0,1.0
752.8114491036359,0,5.0
752.8129951428945,1,1.0
752.9177979701198,1,1.0
771.6817242031688,0,1.0
778.6970894066588,1,3.0
778.9330287696827,0,1.0
779.1764817395086,0,5.0
779.1785973308617,1,1.0
779.3066214717253,1,3.0
797.6552944193054,0,4.0
800.2126771976316,0,4.0
800.2128592682508,1,2.0
804.572958881435,0,4.0
804.6337804764001,0,4.0
813.3309693703258,0,4.0
814.2049632388546,1,1.0
816.4721104601805,1,4.0
822.5449000366452,0,5.0
852.3104804637572,1,1.0
854.9841096076888,1,4.0
855.4123944291614,1,5.0
861.2131589699451,1,2.0
861.9443199005858,0,2.0
901.1845068457578,0,1.0
908.4102513680439,0,1.0
915.1998936742218,0,5.0
917.088913721398,0,2.0
920.3572253869664,0,3.0
927.324291759255,1,1.0
931.6055810932777,1,4.0
931.6098567342051,1,1.0
933.7620490705744,0,5.0
937.2126048624937,0,2.0
938.4569665645303,0,1.0
946.0673545533325,0,5.0
949.5767291677963,0,3.0
966.4272034643993,0,3.0
968.3925916848972,0,5.0
972.6029108219063,0,4.0
1000.1847567493398,1,5.0
1014.093670745,1,3.0
1039.6858783005534,0,2.0
1047.2762182610484,0,4.0
1056.5709501170682,0,1.0
1066.2148659642971,1,3.0
1094.5759648310373,0,1.0
1107.0556113616326,1,1.0
1109.3120478661704,0,4.0
1111.1539612704175,1,2.0
1111.1860082529488,0,5.0
1115.045932649296,1,5.0
1120.916264165776,1,5.0
1120.9166937769514,0,2.0
1125.8689959304918,1,3.0
1133.624101098897,1,4.0
1133.6386646894703,0,5.0
1133.639707785728,0,1.0
1133.6665575605043,1,3.0
1149.0760816690145,0,3.0
1159.011138439167,0,4.0
1159.0261980937871,0,1.0
1170.793810908979,1,1.0
1174.0697054422658,1,5.0
1179.7603533626623,0,2.0
1184.2307357484426,1,1.0
1186.420141638149,1,2.0
1186.4227555946077,0,3.0
1190.5889030959354,1,5.0
1190.6027054797457,0,1.0
1190.6186738493059,1,3.0
1190.6593585090407,0,5.0
1190.7310045690856,1,4.0
1192.4753493824983,0,3.0
1194.948016798226,1,5.0
1203.3645467222905,0,3.0
1207.3727824641421,1,3.0
1217.0554214457443,0,2.0
1233.099718609559,1,1.0
1244.3518239913712,1,5.0
1244.3528896285432,0,2.0
1248.5918100485367,1,5.0
1254.8246884454302,1,2.0
1262.2418194226677,1,3.0
1267.0578939745226,0,2.0
1276.5559345401944,0,5.0
1277.1063538483224,0,3.0
1297.0689003363057,1,5.0
1297.1427726935588,1,5.0
1300.7053932430588,1,5.0
1300.7519410878206,0,3.0
1320.7044406174687,0,5.0
1322.2494365369166,0,4.0
1347.6224638531448,0,5.0
1349.7462615278564,0,2.0
1349.7501762267887,0,1.0
1353.8463552280182,1,3.0
1356.1407746688421,0,4.0
1391.9902213874411,0,5.0
1392.45501613296,0,1.0
1394.4048755752071,0,3.0
1410.5834255110278,1,4.0
1419.8229996942816,1,4.0
1436.4831170086807,0,3.0
1436.4843277847156,1,4.0
1442.3054321789923,0,2.0
1450.6413696301352,0,2.0
1461.7335505198705,0,3.0
1488.8768785678312,0,3.0
1490.7348457948203,0,4.0
1549.164383126709,1,2.0
1549.6941735782354,0,3.0
1552.0601282342775,1,3.0
1568.6885384550717,0,5.0
1571.97193240939,0,4.0
1573.63599854316,1,5.0
1583.3056635903504,0,2.0
1599.0394597030327,0,4.0
1599.0605471593676,1,1.0
1599.0846040715608,0,2.0
1614.1772964407623,1,4.0
1617.2548888781655,0,2.0
1632.2943802424259,0,2.0
1636.513949030501,0,2.0
1641.390292052127,0,1.0
1649.250247797993,0,1.0
1656.8628731283227,1,4.0
1658.0190197586508,1,4.0
1659.6802476710407,1,3.0
1680.9561988678252,1,4.0
1697.9475697398425,1,3.0
1698.9290006242763,1,2.0
1699.7354367321004,1,3.0
1705.2888732637934,1,4.0
1705.2923135169199,1,2.0
1711.4512843985979,1,2.0
1738.1933041627015,0,2.0
1738.3885690881666,0,1.0
1756.504388575343,1,5.0
1758.7333963085432,0,3.0
1775.2762555059626,1,4.0
1786.4455828055927,0,2.0
1789.6615280596973,1,3.0
1792.4921979908775,0,2.0
1809.0802398848816,1,3.0
1816.6210445994143,1,5.0
1816.6211932348883,0,4.0
1819.8020908841768,0,1.0
